task_id,experiment_id,ratio_id,match_to_non_match_ratio,model_id,seed,train_positive_count,train_negative_count,train_total_count,validation_split,validation_row_count,test_split,test_row_count,validation_prediction_path,test_prediction_path,writes_files_now,fit_allowed
task_015,wdc_class_ratio_stress_protocol_v1,match_1_nonmatch_1,1:1,svm,101,500,500,1000,valid_small,2500,test_unseen_100un,4500,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_1\svm\seed_101\validation.csv,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_1\svm\seed_101\test.csv,False,False
task_016,wdc_class_ratio_stress_protocol_v1,match_1_nonmatch_2,1:2,logistic_regression,13,500,1000,1500,valid_small,2500,test_unseen_100un,4500,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_2\logistic_regression\seed_13\validation.csv,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_2\logistic_regression\seed_13\test.csv,False,False
task_017,wdc_class_ratio_stress_protocol_v1,match_1_nonmatch_2,1:2,logistic_regression,29,500,1000,1500,valid_small,2500,test_unseen_100un,4500,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_2\logistic_regression\seed_29\validation.csv,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_2\logistic_regression\seed_29\test.csv,False,False
task_018,wdc_class_ratio_stress_protocol_v1,match_1_nonmatch_2,1:2,logistic_regression,47,500,1000,1500,valid_small,2500,test_unseen_100un,4500,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_2\logistic_regression\seed_47\validation.csv,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_2\logistic_regression\seed_47\test.csv,False,False
task_019,wdc_class_ratio_stress_protocol_v1,match_1_nonmatch_2,1:2,logistic_regression,71,500,1000,1500,valid_small,2500,test_unseen_100un,4500,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_2\logistic_regression\seed_71\validation.csv,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_2\logistic_regression\seed_71\test.csv,False,False
task_020,wdc_class_ratio_stress_protocol_v1,match_1_nonmatch_2,1:2,logistic_regression,101,500,1000,1500,valid_small,2500,test_unseen_100un,4500,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_2\logistic_regression\seed_101\validation.csv,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_2\logistic_regression\seed_101\test.csv,False,False
task_021,wdc_class_ratio_stress_protocol_v1,match_1_nonmatch_2,1:2,random_forest,13,500,1000,1500,valid_small,2500,test_unseen_100un,4500,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_2\random_forest\seed_13\validation.csv,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_2\random_forest\seed_13\test.csv,False,False
task_022,wdc_class_ratio_stress_protocol_v1,match_1_nonmatch_2,1:2,random_forest,29,500,1000,1500,valid_small,2500,test_unseen_100un,4500,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_2\random_forest\seed_29\validation.csv,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_2\random_forest\seed_29\test.csv,False,False
task_023,wdc_class_ratio_stress_protocol_v1,match_1_nonmatch_2,1:2,random_forest,47,500,1000,1500,valid_small,2500,test_unseen_100un,4500,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_2\random_forest\seed_47\validation.csv,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_2\random_forest\seed_47\test.csv,False,False
task_024,wdc_class_ratio_stress_protocol_v1,match_1_nonmatch_2,1:2,random_forest,71,500,1000,1500,valid_small,2500,test_unseen_100un,4500,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_2\random_forest\seed_71\validation.csv,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_2\random_forest\seed_71\test.csv,False,False
task_025,wdc_class_ratio_stress_protocol_v1,match_1_nonmatch_2,1:2,random_forest,101,500,1000,1500,valid_small,2500,test_unseen_100un,4500,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_2\random_forest\seed_101\validation.csv,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_2\random_forest\seed_101\test.csv,False,False
task_026,wdc_class_ratio_stress_protocol_v1,match_1_nonmatch_2,1:2,svm,13,500,1000,1500,valid_small,2500,test_unseen_100un,4500,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_2\svm\seed_13\validation.csv,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_2\svm\seed_13\test.csv,False,False
task_027,wdc_class_ratio_stress_protocol_v1,match_1_nonmatch_2,1:2,svm,29,500,1000,1500,valid_small,2500,test_unseen_100un,4500,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_2\svm\seed_29\validation.csv,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_2\svm\seed_29\test.csv,False,False
task_028,wdc_class_ratio_stress_protocol_v1,match_1_nonmatch_2,1:2,svm,47,500,1000,1500,valid_small,2500,test_unseen_100un,4500,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_2\svm\seed_47\validation.csv,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_2\svm\seed_47\test.csv,False,False
task_029,wdc_class_ratio_stress_protocol_v1,match_1_nonmatch_2,1:2,svm,71,500,1000,1500,valid_small,2500,test_unseen_100un,4500,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_2\svm\seed_71\validation.csv,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_2\svm\seed_71\test.csv,False,False
task_030,wdc_class_ratio_stress_protocol_v1,match_1_nonmatch_2,1:2,svm,101,500,1000,1500,valid_small,2500,test_unseen_100un,4500,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_2\svm\seed_101\validation.csv,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_2\svm\seed_101\test.csv,False,False
task_031,wdc_class_ratio_stress_protocol_v1,match_1_nonmatch_3,1:3,logistic_regression,13,500,1500,2000,valid_small,2500,test_unseen_100un,4500,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_3\logistic_regression\seed_13\validation.csv,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_3\logistic_regression\seed_13\test.csv,False,False
task_032,wdc_class_ratio_stress_protocol_v1,match_1_nonmatch_3,1:3,logistic_regression,29,500,1500,2000,valid_small,2500,test_unseen_100un,4500,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_3\logistic_regression\seed_29\validation.csv,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_3\logistic_regression\seed_29\test.csv,False,False
task_033,wdc_class_ratio_stress_protocol_v1,match_1_nonmatch_3,1:3,logistic_regression,47,500,1500,2000,valid_small,2500,test_unseen_100un,4500,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_3\logistic_regression\seed_47\validation.csv,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_3\logistic_regression\seed_47\test.csv,False,False
task_034,wdc_class_ratio_stress_protocol_v1,match_1_nonmatch_3,1:3,logistic_regression,71,500,1500,2000,valid_small,2500,test_unseen_100un,4500,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_3\logistic_regression\seed_71\validation.csv,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_3\logistic_regression\seed_71\test.csv,False,False
task_035,wdc_class_ratio_stress_protocol_v1,match_1_nonmatch_3,1:3,logistic_regression,101,500,1500,2000,valid_small,2500,test_unseen_100un,4500,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_3\logistic_regression\seed_101\validation.csv,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_3\logistic_regression\seed_101\test.csv,False,False
task_036,wdc_class_ratio_stress_protocol_v1,match_1_nonmatch_3,1:3,random_forest,13,500,1500,2000,valid_small,2500,test_unseen_100un,4500,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_3\random_forest\seed_13\validation.csv,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_3\random_forest\seed_13\test.csv,False,False
task_037,wdc_class_ratio_stress_protocol_v1,match_1_nonmatch_3,1:3,random_forest,29,500,1500,2000,valid_small,2500,test_unseen_100un,4500,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_3\random_forest\seed_29\validation.csv,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_3\random_forest\seed_29\test.csv,False,False
task_038,wdc_class_ratio_stress_protocol_v1,match_1_nonmatch_3,1:3,random_forest,47,500,1500,2000,valid_small,2500,test_unseen_100un,4500,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_3\random_forest\seed_47\validation.csv,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_3\random_forest\seed_47\test.csv,False,False
task_039,wdc_class_ratio_stress_protocol_v1,match_1_nonmatch_3,1:3,random_forest,71,500,1500,2000,valid_small,2500,test_unseen_100un,4500,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_3\random_forest\seed_71\validation.csv,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_3\random_forest\seed_71\test.csv,False,False
task_040,wdc_class_ratio_stress_protocol_v1,match_1_nonmatch_3,1:3,random_forest,101,500,1500,2000,valid_small,2500,test_unseen_100un,4500,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_3\random_forest\seed_101\validation.csv,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_3\random_forest\seed_101\test.csv,False,False
task_041,wdc_class_ratio_stress_protocol_v1,match_1_nonmatch_3,1:3,svm,13,500,1500,2000,valid_small,2500,test_unseen_100un,4500,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_3\svm\seed_13\validation.csv,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_3\svm\seed_13\test.csv,False,False
task_042,wdc_class_ratio_stress_protocol_v1,match_1_nonmatch_3,1:3,svm,29,500,1500,2000,valid_small,2500,test_unseen_100un,4500,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_3\svm\seed_29\validation.csv,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_3\svm\seed_29\test.csv,False,False
task_043,wdc_class_ratio_stress_protocol_v1,match_1_nonmatch_3,1:3,svm,47,500,1500,2000,valid_small,2500,test_unseen_100un,4500,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_3\svm\seed_47\validation.csv,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_3\svm\seed_47\test.csv,False,False
task_044,wdc_class_ratio_stress_protocol_v1,match_1_nonmatch_3,1:3,svm,71,500,1500,2000,valid_small,2500,test_unseen_100un,4500,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_3\svm\seed_71\validation.csv,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_3\svm\seed_71\test.csv,False,False
task_045,wdc_class_ratio_stress_protocol_v1,match_1_nonmatch_3,1:3,svm,101,500,1500,2000,valid_small,2500,test_unseen_100un,4500,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_3\svm\seed_101\validation.csv,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_3\svm\seed_101\test.csv,False,False
task_046,wdc_class_ratio_stress_protocol_v1,match_1_nonmatch_4,1:4,logistic_regression,13,500,2000,2500,valid_small,2500,test_unseen_100un,4500,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_4\logistic_regression\seed_13\validation.csv,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_4\logistic_regression\seed_13\test.csv,False,False
task_047,wdc_class_ratio_stress_protocol_v1,match_1_nonmatch_4,1:4,logistic_regression,29,500,2000,2500,valid_small,2500,test_unseen_100un,4500,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_4\logistic_regression\seed_29\validation.csv,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_4\logistic_regression\seed_29\test.csv,False,False
task_048,wdc_class_ratio_stress_protocol_v1,match_1_nonmatch_4,1:4,logistic_regression,47,500,2000,2500,valid_small,2500,test_unseen_100un,4500,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_4\logistic_regression\seed_47\validation.csv,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_4\logistic_regression\seed_47\test.csv,False,False
task_049,wdc_class_ratio_stress_protocol_v1,match_1_nonmatch_4,1:4,logistic_regression,71,500,2000,2500,valid_small,2500,test_unseen_100un,4500,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_4\logistic_regression\seed_71\validation.csv,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_4\logistic_regression\seed_71\test.csv,False,False
task_050,wdc_class_ratio_stress_protocol_v1,match_1_nonmatch_4,1:4,logistic_regression,101,500,2000,2500,valid_small,2500,test_unseen_100un,4500,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_4\logistic_regression\seed_101\validation.csv,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_4\logistic_regression\seed_101\test.csv,False,False
task_051,wdc_class_ratio_stress_protocol_v1,match_1_nonmatch_4,1:4,random_forest,13,500,2000,2500,valid_small,2500,test_unseen_100un,4500,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_4\random_forest\seed_13\validation.csv,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_4\random_forest\seed_13\test.csv,False,False
task_052,wdc_class_ratio_stress_protocol_v1,match_1_nonmatch_4,1:4,random_forest,29,500,2000,2500,valid_small,2500,test_unseen_100un,4500,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_4\random_forest\seed_29\validation.csv,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_4\random_forest\seed_29\test.csv,False,False
task_053,wdc_class_ratio_stress_protocol_v1,match_1_nonmatch_4,1:4,random_forest,47,500,2000,2500,valid_small,2500,test_unseen_100un,4500,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_4\random_forest\seed_47\validation.csv,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_4\random_forest\seed_47\test.csv,False,False
task_054,wdc_class_ratio_stress_protocol_v1,match_1_nonmatch_4,1:4,random_forest,71,500,2000,2500,valid_small,2500,test_unseen_100un,4500,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_4\random_forest\seed_71\validation.csv,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_4\random_forest\seed_71\test.csv,False,False
task_055,wdc_class_ratio_stress_protocol_v1,match_1_nonmatch_4,1:4,random_forest,101,500,2000,2500,valid_small,2500,test_unseen_100un,4500,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_4\random_forest\seed_101\validation.csv,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_4\random_forest\seed_101\test.csv,False,False
task_056,wdc_class_ratio_stress_protocol_v1,match_1_nonmatch_4,1:4,svm,13,500,2000,2500,valid_small,2500,test_unseen_100un,4500,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_4\svm\seed_13\validation.csv,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_4\svm\seed_13\test.csv,False,False
task_057,wdc_class_ratio_stress_protocol_v1,match_1_nonmatch_4,1:4,svm,29,500,2000,2500,valid_small,2500,test_unseen_100un,4500,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_4\svm\seed_29\validation.csv,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_4\svm\seed_29\test.csv,False,False
task_058,wdc_class_ratio_stress_protocol_v1,match_1_nonmatch_4,1:4,svm,47,500,2000,2500,valid_small,2500,test_unseen_100un,4500,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_4\svm\seed_47\validation.csv,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_4\svm\seed_47\test.csv,False,False
task_059,wdc_class_ratio_stress_protocol_v1,match_1_nonmatch_4,1:4,svm,71,500,2000,2500,valid_small,2500,test_unseen_100un,4500,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_4\svm\seed_71\validation.csv,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_4\svm\seed_71\test.csv,False,False
task_060,wdc_class_ratio_stress_protocol_v1,match_1_nonmatch_4,1:4,svm,101,500,2000,2500,valid_small,2500,test_unseen_100un,4500,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_4\svm\seed_101\validation.csv,results\predictions\wdc_class_ratio_stress_protocol_v1\match_1_nonmatch_4\svm\seed_101\test.csv,False,False
